ath,atl,collectDatetime,coursAction,nomIndice,valeurOuverture,variationAction
12.706 ,12.636 ,2023-12-13 10:10:28,12.658 ,CREDIT AGRICOLE SA,12.650 ,0.00%
179.340 ,178.020 ,2023-12-13 10:10:28,179.240 ,AIR LIQUIDE,178.500 ,+0.53%
143.440 ,142.700 ,2023-12-13 10:10:28,143.200 ,AIRBUS,143.000 ,+0.36%
11.185 ,10.940 ,2023-12-13 10:10:28,11.030 ,ALSTOM,11.020 ,-0.45%
59.650 ,59.390 ,2023-12-13 10:10:28,59.430 ,DANONE,59.600 ,-0.20%
60.930 ,60.340 ,2023-12-13 10:10:28,60.770 ,BNP PARIBAS,60.530 ,-0.08%
16.920 ,16.520 ,2023-12-13 10:10:28,16.625 ,CARREFOUR,16.920 ,-2.41%
194.200 ,193.200 ,2023-12-13 10:10:28,193.900 ,CAPGEMINI,193.400 ,+0.44%
30.160 ,29.985 ,2023-12-13 10:10:28,29.990 ,AXA,30.000 ,-0.27%
115.520 ,114.800 ,2023-12-13 10:10:28,115.340 ,VINCI,115.100 ,-0.05%
45.185 ,44.820 ,2023-12-13 10:10:28,44.875 ,DASSAULT SYSTEMES,45.000 ,+0.09%
53.620 ,53.140 ,2023-12-13 10:10:28,53.160 ,EDENRED,53.200 ,+0.08%
187.200 ,183.100 ,2023-12-13 10:10:28,186.800 ,ESSILORLUXOTTICA,183.100 ,+1.77%
36.000 ,35.840 ,2023-12-13 10:10:28,35.860 ,BOUYGUES,35.960 ,-0.31%
16.120 ,16.024 ,2023-12-13 10:10:28,16.072 ,ENGIE,16.062 ,+0.51%
54.900 ,54.360 ,2023-12-13 10:10:28,54.660 ,EUROFINS SCIENTIFIC,54.360 ,+0.37%
24.010 ,23.660 ,2023-12-13 10:10:28,23.890 ,SOCIETE GENERALE,23.710 ,+0.76%
139.100 ,138.050 ,2023-12-13 10:10:28,138.350 ,THALES,138.350 ,+0.65%
413.250 ,405.300 ,2023-12-13 10:10:28,412.200 ,KERING,406.400 ,+0.43%
95.440 ,95.040 ,2023-12-13 10:10:28,95.400 ,LEGRAND,95.040 ,+0.63%
741.300 ,720.000 ,2023-12-13 10:10:28,739.900 ,LVMH,720.000 ,+0.86%
32.020 ,31.850 ,2023-12-13 10:10:28,31.960 ,MICHELIN,31.880 ,+0.25%
449.700 ,445.650 ,2023-12-13 10:10:28,449.350 ,L'OREAL,446.050 ,+1.05%
11.134 ,10.884 ,2023-12-13 10:10:28,10.910 ,ORANGE,11.134 ,-2.24%
82.400 ,81.620 ,2023-12-13 10:10:28,82.000 ,PUBLICIS GROUPE,82.300 ,-0.49%
156.650 ,154.800 ,2023-12-13 10:10:28,156.300 ,PERNOD RICARD,155.700 ,+0.22%
2 041.500 ,2 006.500 ,2023-12-13 10:10:28,2 036.500 ,HERMES INTL,2 009.000 ,+1.34%
37.930 ,37.520 ,2023-12-13 10:10:28,37.540 ,RENAULT,37.660 ,-0.20%
168.760 ,167.320 ,2023-12-13 10:10:28,167.580 ,SAFRAN,168.020 ,+0.06%
